Player,Age,Pos,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Nils Aman,25,C,VAN,"$825,000",10.38,0.22,0.56,40,40,10.38,0.22,0.56,11.16,4,7,11,0,0,0,0,0,0,38,16,8,63,3143102,29,-2,-1274,766,-762,628699,8482496,,,
Jon Merrill,33,D,MIN,$1,13.13,0.04,0.76,72,72,13.13,0.04,0.76,13.94,3,8,11,0,0,0,0,0,0,39,84,25,0,7741788,46,-5,-689,593,-442,1548452,8475750,,,
Vladislav Kolyachonok,24,D,DAL,"$775,000",12.69,0.01,0.31,50,50,12.69,0.01,0.31,13.01,3,8,11,0,0,0,0,0,0,38,45,9,0,2191082,32,0,-923,694,-676,438293,8481609,,,
Troy Stecher,31,D,EDM,"$787,500",13.59,0.04,1.03,69,69,13.59,0.04,1.03,14.66,3,8,11,0,0,0,0,0,0,41,73,27,0,10070353,56,-2,-683,587,-436,2014171,8479442,,,
Kevin Korchinski,21,D,CHI,"$918,333",16.39,1.00,0.10,41,41,16.39,1.00,0.10,17.49,3,8,11,0,2,2,0,0,0,7,40,14,0,588515,47,-5,-907,689,-660,117781,8483466,,,
Jani Hakanpaa,33,D,TOR,$1,15.62,0.15,2.99,60,60,15.62,0.15,2.99,18.76,2,9,11,0,1,1,0,1,1,133,96,28,0,25312270,52,4,-452,443,-205,5062586,8475825,,,
Santeri Hatakka,25,D,NJ,$1,13.19,0.00,0.00,51,51,13.19,0.00,0.00,13.19,2,9,11,0,0,0,0,0,0,37,46,10,0,0,47,0,-891,685,-644,89,8481701,,,
Alexander Alexeyev,26,D,PIT,"$775,000",13.42,0.16,0.59,64,64,13.42,0.16,0.59,14.18,2,9,11,0,1,1,0,0,0,59,81,10,0,5382008,40,-1,-761,636,-514,1076504,8480823,,,
Ronnie Attard,26,D,COL,"$775,000",14.12,0.00,0.00,51,51,14.12,0.00,0.00,14.12,2,9,11,0,0,0,0,0,0,56,50,12,0,0,53,0,-823,664,-576,100,8481521,,,
Sebastian Aho (D),29,D,PIT,"$775,000",15.30,0.83,0.49,41,41,15.30,0.83,0.49,16.61,2,9,11,0,2,2,0,0,0,23,44,9,0,2814899,38,0,-920,691,-673,563059,8480222,,,
Nolan Allan,22,D,CHI,"$825,000",14.13,0.01,0.99,55,55,14.13,0.01,0.99,15.13,2,9,11,0,0,0,0,0,0,75,62,17,0,7698050,28,-5,-771,642,-524,1539692,8482700,,,
Isaiah George,21,D,NYI,"$838,333",15.51,0.01,0.13,48,48,15.51,0.01,0.13,15.65,2,9,11,0,0,0,0,0,0,20,52,9,0,882279,41,-1,-923,693,-676,176537,8483448,,,
Caleb Jones,28,D,PIT,"$900,000",12.20,0.35,0.27,56,56,12.20,0.35,0.27,12.82,2,9,11,0,1,1,0,0,0,56,56,16,0,2155624,43,0,-788,648,-541,431217,8478452,,,
Haydn Fleury,29,D,WPG,"$950,000",14.63,0.10,1.21,56,56,14.63,0.10,1.21,15.94,2,9,11,0,0,0,0,0,0,62,74,17,0,9589128,57,-5,-709,607,-462,1917935,8477938,,,
Jake Christiansen,26,D,CBJ,"$975,000",12.25,0.08,0.37,66,66,12.25,0.08,0.37,12.70,2,9,11,0,0,0,0,0,0,45,63,13,0,3474223,53,-5,-802,652,-555,694944,8481161,,,
Ryan Graves,30,D,PIT,"$4,500,000",13.82,0.03,1.70,68,68,13.82,0.03,1.70,15.55,2,9,11,0,0,0,0,0,0,72,92,22,0,16299085,55,0,-615,546,-368,3259934,8477435,,,
Vincent Desharnais,29,D,SJ,"$2,000,000",14.34,0.05,1.61,68,68,14.34,0.05,1.61,16.00,1,10,11,0,0,0,0,1,1,104,99,49,0,15459836,41,1,-394,406,-147,3092069,8479576,,,
Nicolas Aube-Kubel,29,RW,MIN,"$775,000",9.68,0.15,0.19,43,43,9.68,0.15,0.19,10.02,4,6,10,0,0,0,0,0,0,77,12,17,8,1127083,40,-1,-966,715,-633,225493,8477979,,,
Ross Johnston,31,LW,ANA,"$1,100,000",8.42,0.11,0.00,65,65,8.42,0.11,0.00,8.53,4,6,10,0,0,0,0,0,0,177,27,65,0,3,29,-6,-471,459,-127,70,8477527,,,
Philippe Myers,29,D,TOR,"$850,000",15.19,0.01,1.03,51,51,15.19,0.01,1.03,16.23,3,7,10,0,0,0,0,0,0,104,58,13,0,7423387,64,-1,-696,603,-449,1484800,8479026,,,
Maxwell Crozier,25,D,TB,"$775,000",13.12,0.00,0.00,51,51,13.12,0.00,0.00,13.12,2,8,10,0,0,0,0,0,0,40,47,8,0,0,48,0,-902,688,-655,90,8481719,,,
Ville Heinola,24,D,WPG,"$800,000",13.85,0.17,0.16,49,49,13.85,0.17,0.16,14.18,2,8,10,0,1,1,0,0,0,20,47,10,0,1108259,42,0,-924,695,-677,221731,8481572,,,
Lucas Carlsson,28,D,SJ,"$800,000",17.01,0.00,0.00,35,35,17.01,0.00,0.00,17.01,2,8,10,0,0,0,0,0,0,10,38,14,0,0,35,-2,-964,713,-717,63,8479523,,,
Nick DeSimone,31,D,UTA,"$800,000",14.97,0.02,0.40,39,39,14.97,0.02,0.40,15.39,2,8,10,0,0,0,0,0,0,27,39,6,0,2213200,41,1,-972,716,-725,442719,8480084,,,
Simon Benoit,27,D,TOR,"$1,350,000",14.63,0.04,2.02,77,77,14.63,0.04,2.02,16.68,2,8,10,0,0,0,0,0,0,194,107,50,0,21942816,51,-5,-195,270,52,4388695,8481122,,,
William Lagesson,29,D,DET,"$775,000",13.67,0.12,1.25,62,62,13.67,0.12,1.25,15.04,1,9,10,0,0,0,0,0,0,89,78,36,0,10943795,32,0,-585,526,-338,2188844,8478021,,,
John Hayden,30,C,SEA,"$775,000",8.19,0.00,0.09,40,40,8.19,0.00,0.09,8.28,4,5,9,0,0,0,0,0,0,71,25,11,49,508688,36,0,-1176,755,-664,101826,8477401,,,
Ben Jones,26,C,MIN,"$775,000",8.35,0.04,0.12,44,44,8.35,0.04,0.12,8.50,4,5,9,0,0,0,0,0,0,76,17,10,20,746284,41,-1,-1185,758,-673,149341,8480259,,,
Jonas Rondbjerg,26,RW,VGK,"$775,000",10.70,0.00,0.99,33,33,10.70,0.00,0.99,11.69,4,5,9,0,0,0,0,0,0,12,18,4,0,4617365,37,-1,-1162,753,-830,923536,8480007,,,
Mitchell Stephens,28,C,SEA,"$775,000",7.80,0.03,1.30,43,43,7.80,0.03,1.30,9.12,4,5,9,0,0,0,0,0,0,29,14,7,111,7869365,34,-1,-1308,767,-796,1573962,8478477,,,
Michael Pezzetta,27,LW,TOR,"$812,500",8.15,0.01,0.07,44,44,8.15,0.01,0.07,8.23,4,5,9,0,0,0,0,0,0,179,20,29,5,465269,34,-1,-718,614,-374,93145,8479543,,,
Jacob Moverare,27,D,LA,"$775,000",11.45,0.03,0.30,55,55,11.45,0.03,0.30,11.77,2,7,9,0,0,0,0,0,0,31,59,12,0,2298185,33,3,-896,686,-649,459714,8479421,,,
Ian Mitchell,27,D,DET,"$775,000",14.56,1.09,0.05,34,34,14.56,1.09,0.05,15.70,2,7,9,0,2,2,0,0,0,11,40,10,0,235463,31,-1,-974,717,-727,47156,8480070,,,
Jordan Harris,25,D,BOS,"$825,000",11.86,0.11,0.46,50,50,11.86,0.11,0.46,12.43,2,7,9,0,0,0,0,0,0,31,51,12,0,3271895,29,-4,-924,696,-677,654445,8480887,,,
Noah Juulsen,28,D,PHI,"$900,000",13.80,0.05,2.18,67,67,13.80,0.05,2.18,16.04,2,7,9,0,0,0,0,0,0,174,100,26,0,20653399,45,-6,-423,423,-176,4130808,8478454,,,
Jacob Bryson,28,D,BUF,"$900,000",13.49,0.03,0.94,56,56,13.49,0.03,0.94,14.46,1,8,9,0,0,0,0,0,0,18,60,11,0,7406831,24,-5,-942,701,-695,1481427,8480196,,,
Zack MacEwen,29,RW,OTT,"$775,000",7.78,0.18,0.00,40,40,7.78,0.18,0.00,7.97,4,4,8,0,0,0,0,0,0,78,13,20,17,20368,36,-1,-965,714,-633,4145,8479772,,,
Grigori Denisenko,25,LW,VGK,"$750,000",9.57,0.40,0.00,30,30,9.57,0.40,0.00,9.98,3,5,8,0,1,1,0,0,0,31,13,5,0,0,30,-1,-1159,752,-815,57,8480844,,,
Patrick Brown,33,C,BOS,"$775,000",9.68,0.00,0.94,33,33,9.68,0.00,0.94,10.62,3,5,8,0,0,0,0,0,0,92,22,13,77,4364865,30,-1,-1155,751,-643,873063,8477887,,,
Ryan Reaves,39,RW,SJ,"$1,350,000",7.64,0.08,0.00,50,50,7.64,0.08,0.00,7.73,3,5,8,0,0,0,0,0,0,137,14,19,0,21040,25,-2,-888,683,-556,4279,8471817,,,
Brendan Smith,36,D,CBJ,"$750,000",12.37,0.07,1.33,50,50,12.37,0.07,1.33,13.77,2,6,8,0,0,0,0,0,0,61,50,37,0,9409742,43,-3,-695,602,-448,1882020,8474090,,,
Nikolas Matinpalo,27,D,OTT,"$875,000",12.58,0.00,0.03,54,54,12.58,0.00,0.03,12.61,2,6,8,0,0,0,0,0,0,32,42,20,0,229077,53,-1,-859,679,-612,45895,8484321,,,
Louis Crevier,24,D,CHI,"$900,000",15.62,0.07,1.37,45,45,15.62,0.07,1.37,17.06,2,6,8,0,0,0,0,0,0,82,72,11,0,8732931,41,-5,-772,643,-524,1746683,8481806,,,
Seamus Casey,22,D,NJ,"$950,000",11.52,0.00,0.00,36,36,11.52,0.00,0.00,11.52,2,6,8,0,0,0,0,0,0,20,27,4,0,0,27,0,-1071,738,-824,56,8483429,,,
Andreas Englund,30,D,NSH,"$775,000",12.69,0.14,0.62,52,52,12.69,0.14,0.62,13.45,1,7,8,0,0,0,0,0,0,106,52,44,0,4549997,28,-1,-595,536,-348,910066,8477971,,,
David Jiricek,22,D,MIN,"$918,333",14.68,0.12,0.17,35,35,14.68,0.12,0.17,14.97,1,7,8,0,0,0,0,0,0,15,36,13,0,841276,33,-2,-989,727,-742,168312,8483460,,,
Justin Holl,34,D,DET,"$3,400,000",13.71,0.03,1.26,55,55,13.71,0.03,1.26,15.00,1,7,8,0,0,0,0,0,0,36,59,17,0,9776503,29,2,-873,682,-626,1955369,8475718,,,
Givani Smith,27,RW,SJ,"$750,000",7.85,0.00,0.00,36,36,7.85,0.00,0.00,7.85,3,4,7,0,0,0,0,0,0,83,11,25,1,11449,28,-2,-955,711,-622,2344,8479379,,,
Ethan Bear,28,D,WSH,"$775,000",14.73,0.41,0.43,30,30,14.73,0.41,0.43,15.56,2,5,7,0,1,1,0,0,0,16,35,9,0,1817110,32,-2,-1011,730,-764,363481,8478451,,,
Matthew Kessel,25,D,STL,"$800,000",13.22,0.04,0.46,45,45,13.22,0.04,0.46,13.71,1,6,7,0,0,0,0,0,0,34,46,11,0,2911581,31,-1,-954,709,-707,582380,8482516,,,
Dennis Gilbert,29,D,PHI,"$875,000",10.28,0.02,0.45,44,44,10.28,0.02,0.45,10.75,1,6,7,0,0,0,0,0,0,78,45,28,0,2775647,22,-1,-785,647,-538,555187,8478502,,,
Austin Watson,34,LW,DET,"$775,000",7.29,0.00,0.49,34,34,7.29,0.00,0.49,7.79,3,3,6,0,0,0,0,0,0,80,18,30,0,2366114,22,-1,-940,700,-596,473269,8475766,,,
Sammy Blais,29,LW,MTL,"$775,000",9.92,0.26,0.00,25,25,9.92,0.26,0.00,10.18,2,4,6,0,0,0,0,0,0,91,11,7,1,3,17,-2,-1100,743,-756,53,8478104,,,
Keaton Middleton,27,D,COL,"$775,000",10.76,0.00,0.72,54,54,10.76,0.00,0.72,11.48,1,5,6,0,0,0,0,0,0,89,49,25,0,5494643,56,1,-721,615,-474,1099022,8479387,,,
Cale Fleury,27,D,SEA,"$890,000",11.95,0.00,0.00,36,36,11.95,0.00,0.00,11.95,1,5,6,0,0,0,0,0,0,51,39,6,0,0,33,1,-979,723,-732,68,8479985,,,
Kurtis MacDermid,31,LW,NJ,"$1,150,000",5.54,0.13,0.25,42,42,5.54,0.13,0.25,5.92,2,3,5,0,0,0,0,0,0,76,14,22,2,1483488,18,-1,-1028,736,-683,296740,8477073,,,
Kyle Burroughs,30,D,LA,"$1,100,000",8.83,0.11,0.57,50,50,8.83,0.11,0.57,9.51,1,4,5,0,0,0,0,0,0,65,37,31,0,4044492,21,-1,-828,667,-581,808944,8477335,,,
