Player,Age,Pos,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Mikael Pyyhtia,24,LW,CBJ,"$775,000",11.08,0.16,1.38,54,54,11.08,0.16,1.38,12.61,6,8,14,0,0,0,1,0,1,28,43,9,2,10553071,52,-6,-974,718,-630,2110713,8482451,,,
Tyson Jost,27,C,CAR,"$775,000",9.88,0.64,0.35,45,45,9.88,0.64,0.35,10.87,6,8,14,1,1,2,0,0,0,49,20,16,67,2257370,52,-1,-1096,741,-584,451586,8479370,,,
Max Sasson,25,C,VAN,"$775,000",10.47,0.08,0.00,46,46,10.47,0.08,0.00,10.56,6,8,14,0,0,0,0,0,0,28,20,4,70,90,46,-1,-1246,762,-734,124,8484136,,,
Anthony Richard,29,C,PHI,"$775,000",10.84,1.36,0.00,33,33,10.84,1.36,0.00,12.20,6,8,14,1,2,3,0,0,0,16,15,4,0,4,44,0,-1248,763,-736,86,8478409,,,
Oliver Kapanen,22,C,MTL,"$925,000",9.79,1.41,0.21,38,38,9.79,1.41,0.21,11.42,6,8,14,2,3,5,0,0,0,4,16,5,39,1128257,47,-2,-1231,761,-719,225748,8482775,,,
Beck Malenstyn,27,LW,BUF,"$1,350,000",9.49,0.04,1.70,75,75,9.49,0.04,1.70,11.22,6,8,14,0,0,0,0,1,1,189,65,22,12,17967985,71,-6,-514,486,-169,3593757,8479359,,,
Jan Rutta,35,D,SJ,$1,15.67,0.04,2.02,77,77,15.67,0.04,2.02,17.73,4,10,14,0,0,0,0,1,1,59,109,35,0,21938321,72,-14,-448,437,-201,4387795,8480172,,,
Jeremy Lauzon,28,D,VGK,"$2,000,000",15.45,0.08,2.47,78,78,15.45,0.08,2.47,18.01,4,10,14,0,0,0,0,1,1,323,98,73,0,27279296,80,-1,248,80,495,5456046,8478468,,,
Dennis Cholowski,27,D,NJ,"$775,000",11.81,1.23,0.02,53,53,11.81,1.23,0.02,13.06,3,11,14,1,4,5,0,0,0,9,46,12,0,149803,44,-1,-846,677,-599,30052,8479395,,,
Logan Stanley,27,D,WPG,"$1,250,000",14.15,0.04,1.18,66,66,14.15,0.04,1.18,15.36,3,11,14,0,0,0,0,0,0,91,81,55,0,10972216,59,0,-363,386,-116,2194555,8479378,,,
Arber Xhekaj,25,D,MTL,"$1,300,000",13.83,0.20,0.73,71,71,13.83,0.20,0.73,14.77,3,11,14,0,1,1,0,0,0,169,68,91,0,7361395,76,-6,16,150,263,1472400,8482964,,,
Jayden Struble,24,D,MTL,"$1,412,500",14.63,0.05,0.46,62,62,14.63,0.05,0.46,15.14,3,11,14,0,0,0,0,0,0,124,59,41,0,4011601,52,1,-467,456,-220,802433,8481593,,,
Juuso Valimaki,27,D,UTA,"$2,000,000",15.58,0.40,0.91,56,56,15.58,0.40,0.91,16.89,3,11,14,0,1,1,0,0,0,32,65,18,0,7199052,52,-2,-750,631,-503,1439914,8479976,,,
Mathew Dumba,31,D,PIT,"$3,750,000",14.86,0.52,0.90,69,69,14.86,0.52,0.90,16.28,3,11,14,0,3,3,0,0,0,79,74,50,0,8746246,70,-7,-379,400,-132,1749368,8476856,,,
Mattias Samuelsson,25,D,BUF,"$4,285,714",16.69,0.04,2.70,72,72,16.69,0.04,2.70,19.43,3,11,14,0,0,0,0,1,1,118,112,21,0,27497728,64,2,-445,436,-198,5499699,8480807,,,
Kevin Rooney,32,C,CGY,$1,7.37,0.16,1.84,70,70,7.37,0.16,1.84,9.36,7,6,13,0,0,0,1,0,1,106,39,10,143,18176636,52,-2,-1014,731,-502,3635479,8479291,,,
Nikita Nesterenko,24,C,ANA,"$787,500",10.50,0.13,0.03,38,38,10.50,0.13,0.03,10.65,7,6,13,0,0,0,0,0,0,79,14,5,0,161159,42,-1,-1178,756,-666,32325,8481754,,,
Kailer Yamamoto,27,RW,UTA,"$775,000",11.12,1.69,0.36,36,36,11.12,1.69,0.36,13.16,6,7,13,1,2,3,0,0,0,28,13,9,21,1831985,41,0,-1034,737,-701,366482,8479977,,,
Ben Meyers,27,C,SEA,"$775,000",9.80,0.03,0.40,58,58,9.80,0.03,0.40,10.22,6,7,13,0,0,0,0,0,0,70,17,11,100,3259917,46,-2,-1143,748,-631,652100,8483570,,,
Ivan Miroshnichenko,21,LW,WSH,"$950,000",9.38,1.03,0.00,36,36,9.38,1.03,0.00,10.41,6,7,13,1,2,3,0,0,0,55,13,5,0,1,44,0,-1019,734,-674,92,8483491,,,
Matt Rempe,23,RW,NYR,"$975,000",8.79,0.12,0.00,49,49,8.79,0.12,0.00,8.91,6,7,13,0,0,0,0,0,0,137,17,39,2,11,41,-1,-673,581,-340,93,8482460,,,
Ryan Lomberg,31,LW,CGY,"$2,000,000",8.57,0.13,0.16,80,80,8.57,0.13,0.16,8.86,6,7,13,0,0,0,0,0,0,127,20,41,5,1806909,70,-3,-629,553,-284,361496,8479066,,,
Nikita Alexandrov,25,C,STL,"$775,000",9.14,0.07,0.08,58,58,9.14,0.07,0.08,9.30,5,8,13,0,0,0,0,0,0,68,22,9,88,656051,48,-2,-1145,749,-633,131327,8481543,,,
Olle Lycksell,26,RW,OTT,"$775,000",10.88,0.88,0.00,37,37,10.88,0.88,0.00,11.75,5,8,13,1,1,2,0,0,0,15,12,8,4,4,44,0,-1075,739,-743,79,8480245,,,
Brendan Brisson,24,C,VGK,"$775,000",11.92,0.93,0.04,30,30,11.92,0.93,0.04,12.88,5,8,13,1,1,2,0,0,0,25,11,5,7,169650,43,-1,-1261,765,-749,34012,8482153,,,
Jansen Harkins,28,C,ANA,"$787,500",9.31,0.18,1.12,60,60,9.31,0.18,1.12,10.61,5,7,12,0,0,0,1,0,1,111,31,18,56,9514204,50,-4,-991,728,-480,1902958,8478424,,,
Drew Helleson,24,D,ANA,"$1,100,000",15.36,0.02,0.97,63,63,15.36,0.02,0.97,16.35,4,9,13,0,0,0,0,0,0,107,82,39,0,8638472,71,-9,-419,422,-172,1727824,8481563,,,
Oliver Kylington,28,D,ANA,$1,12.60,0.06,0.36,60,60,12.60,0.06,0.36,13.02,3,10,13,0,0,0,0,0,0,15,61,17,0,3074533,40,-1,-839,672,-592,614991,8478430,,,
Samuel Bolduc,25,D,NYI,"$775,000",12.99,0.49,0.11,62,62,12.99,0.49,0.11,13.60,3,10,13,0,2,2,0,0,0,64,62,12,0,990361,59,-2,-724,616,-477,198191,8481541,,,
Ben Hutton,32,D,VGK,"$975,000",15.20,1.07,0.19,43,43,15.20,1.07,0.19,16.47,3,10,13,0,3,3,0,0,0,17,51,13,0,1174032,66,2,-804,656,-557,234918,8477018,,,
Travis Hamonic,35,D,DET,"$1,000,000",15.22,0.06,1.62,70,70,15.22,0.06,1.62,16.90,3,10,13,0,0,0,0,1,1,80,109,33,0,16019842,85,-9,-412,415,-164,3204117,8474612,,,
Brayden Pachal,26,D,CGY,"$1,187,500",13.10,0.04,1.17,73,73,13.10,0.04,1.17,14.30,3,10,13,0,0,0,0,1,1,141,82,51,0,12036689,67,-2,-292,338,-45,2407469,8481167,,,
